0,7500,0,"Fill"
0,15000,1,"Fill"
0,22500,2,"Fill"
0,30000,3,"Fill"
35630,37500,0,"ArduinoSwitch"
38000,45000,0,"BlueScreen"
38000,45000,1,"BlueScreen"
38000,45000,2,"BlueScreen"
38000,45000,3,"BlueScreen"
48750,48900,2,"FadeOut"
51095,51700,0,"FadeOut"
51095,51700,3,"FadeOut"
52500,52650,1,"FadeOut"
52650,56250,2,"Outline"
56250,56550,0,"LineVertDown"
56250,56550,3,"LineVertDown"
58595,60235,1,"LineVertUp"
58595,60235,2,"LineVertUp"
60235,60450,3,"FFTFillFast"
62800,63350,1,"FFTFillFast"
63980,64200,2,"FFTFillFast"
64100,67500,1,"Outline"
66560,66810,0,"LineVertUp"
66800,67050,2,"LineVertUp"
66910,67160,3,"LineVertUp"
67500,67740,2,"FadeOut"
67500,67740,3,"FadeOut"
68400,69200,0,"FFTFillSlow"
68400,69200,1,"FFTFillSlow"
69350,71250,3,"FadeIn"
71250,73600,1,"FadeIn"
73600,73750,2,"FadeOut"
75000,75250,0,"FadeOut"
75700,75950,2,"FadeOut"
75930,76400,0,"FFTFillFast"
76630,76900,1,"FFTFillFast"
77100,77330,2,"FFTFillFast"
77345,77650,0,"LineHoriLeft"
77345,77650,2,"LineHoriLeft"
77345,77650,1,"LineHoriRight"
77345,77650,3,"LineHoriRight"
77650,78750,2,"FadeIn"
77800,78750,1,"FFTFillSlow"
78750,81650,3,"FFTFillSlow"
81650,82250,1,"FadeIn"
81650,82250,3,"FFTFillFast"
82250,86250,0,"FadeIn"
82250,86250,2,"FFTFillFast"
86250,90000,2,"FadeIn"
86250,90000,1,"FFTFillFast"
88100,88900,3,"LineVertDown"
90000,93750,3,"FadeIn"
90000,93750,0,"FFTFillFast"
96090,97500,1,"FadeOut"
96090,96550,2,"LineVertUp"
97500,97965,0,"LineHoriLeft"
97500,97965,2,"LineHoriLeft"
97500,97965,1,"LineHoriRight"
97500,97965,3,"LineHoriRight"
97965,98200,1,"LineHoriLeft"
97965,98200,3,"LineHoriLeft"
97965,98200,0,"LineHoriRight"
97965,98200,2,"LineHoriRight"
98200,98450,1,"FadeOut"
98200,98900,2,"FadeIn"
99350,99600,0,"LineVertDown"
99350,99600,0,"LineVertUp"
99375,101200,3,"FFTFillFast"
101200,103100,1,"FFTFillFast"
102640,103125,3,"StripesHori"
103100,106870,2,"FFTFillFast"
104760,104880,1,"LineVertDown"
104880,105000,1,"LineVertUp"
106870,108750,0,"FFTFillFast"
108200,108750,2,"FadeOut"
108750,109680,1,"FFTFillFast"
109680,112500,0,"FFTFillFast"
109680,110600,3,"FFTFillFast"
110250,110400,1,"RandomVert"
110600,112500,2,"FFTFillFast"
115540,115640,3,"FadeOut"
115780,115880,0,"FadeOut"
115900,116150,2,"FadeOut"
119300,119400,2,"FadeOut"
119530,119630,0,"FadeOut"
119650,119800,3,"FadeOut"
123050,123150,0,"FadeOut"
123160,123260,2,"FadeOut"
123280,123744,1,"RandomHori"
126600,127500,0,"ArduinoSwitch"
142500,172500,0,"LineHoriLeft"
142500,172500,2,"LineHoriLeft"
142500,172500,1,"LineHoriRight"
142500,172500,3,"LineHoriRight"
172500,172970,3,"RandomVert"
172500,172770,1,"RandomVert"
173200,173670,0,"RandomHori"
173200,173670,1,"RandomHori"
174375,174845,0,"RandomVert"
174375,174845,2,"RandomVert"
175070,175780,2,"RandomHori"
175070,175780,3,"RandomHori"
176250,176720,1,"RandomVert"
176250,176720,2,"RandomVert"
176950,177650,0,"RandomHori"
176950,177650,3,"RandomHori"
178120,178825,1,"FadeIn"
178825,179075,0,"FadeOut"
178825,180000,2,"FadeIn"
180000,180250,0,"RandomVert"
180000,181875,1,"FFTFillFast"
180700,180950,3,"RandomHori"
181875,183750,0,"FFTFillFast"
181875,182125,1,"LineHoriRight"
181875,182125,2,"LineHoriRight"
182580,182815,3,"LineHoriLeft"
183750,184450,0,"RandomHori"
183750,184450,1,"RandomHori"
183750,184450,2,"RandomHori"
183750,184450,3,"RandomHori"
184450,185150,0,"RandomVert"
184450,185150,1,"RandomVert"
184450,185150,2,"RandomVert"
184450,185150,3,"RandomVert"
185150,185270,0,"FadeOut"
185270,185390,1,"FadeOut"
185390,185510,2,"FadeOut"
185510,185600,3,"FadeOut"
185600,186320,0,"LineVertDown"
185600,186320,1,"LineVertDown"
185600,186320,2,"LineVertUp"
185600,186320,3,"LineVertUp"
186320,187500,0,"FadeIn"
186320,187500,1,"FadeIn"
186320,187500,2,"FadeIn"
186320,187500,3,"FadeIn"
187500,188200,0,"ArduinoSwitch"
187500,188200,0,"RandomHori"
187500,188200,3,"LineHoriRight"
188200,188900,0,"LineHoriLeft"
188200,188900,1,"LineHoriLeft"
188200,188900,2,"LineHoriLeft"
188200,188900,3,"LineHoriLeft"
188900,189375,3,"FFTFillFast"
189375,190080,2,"FadeIn"
190080,191250,0,"FadeIn"
190080,191250,3,"FadeIn"
190550,190775,1,"LineHoriRight"
190775,191025,1,"LineHoriLeft"
191025,191250,1,"LineHoriRight"
191250,191950,0,"StripesHori"
191250,191950,2,"StripesHori"
191950,193120,1,"StripesHori"
191950,193120,3,"StripesHori"
192650,193120,0,"StripesHori"
192650,193120,2,"StripesHori"
193120,193600,0,"FadeOut"
193600,193820,1,"FadeIn"
193820,195000,2,"StripesVert"
193820,195000,3,"StripesVert"
195000,202500,2,"Outline"
195000,191750,2,"FFTFillFast"
196870,202500,0,"Outline"
196870,197020,0,"FFTFillFast"
198750,202500,3,"Outline"
198750,199000,3,"FFTFillFast"
